case_id,variant,eta,y_m,chord_m,cl,airfoil_id,Re,profile_cd_station,profile_lookup_status
conservative_best_tier2,raw,0.016369431385955483,0.281,1.2414,1.2133,cst_root_nsga2_g05_child_0019_00cc4dca,520112.27934935724,0.011110601349630066,interp_clean_nearest_re
conservative_best_tier2,raw,0.03193495475366831,0.5482,1.225,1.2211,cst_root_nsga2_g05_child_0019_00cc4dca,513241.1327557294,0.011108058143656887,interp_clean_nearest_re
conservative_best_tier2,raw,0.052446260059700066,0.9003,1.2035,1.2313,cst_root_nsga2_g05_child_0019_00cc4dca,504233.2271604248,0.011146025501367054,interp_clean_nearest_re
conservative_best_tier2,raw,0.07771693385054522,1.3341,1.177,1.2439,cst_root_nsga2_g05_child_0019_00cc4dca,493130.4597987703,0.01123709489840899,interp_clean_nearest_re
conservative_best_tier2,raw,0.10750230846847773,1.8454,1.1457,1.2591,cst_root_nsga2_g05_child_0019_00cc4dca,480016.6251414197,0.011771284406380526,interp_clean_nearest_re
conservative_best_tier2,raw,0.1415111128923952,2.4292,1.11,1.278,cst_root_nsga2_g05_child_0019_00cc4dca,465059.3121296814,0.011843463120697369,interp_clean_nearest_re
conservative_best_tier2,raw,0.17620149150569234,3.0247,1.0808,1.2954,cst_root_nsga2_g05_child_0019_00cc4dca,452825.3194141979,0.01192467685745166,interp_clean_nearest_re
conservative_best_tier2,raw,0.21078118713097052,3.6183,1.06,1.3094,cst_root_nsga2_g05_child_0019_00cc4dca,444110.69446618226,0.012600560647694492,interp_clean_nearest_re
conservative_best_tier2,raw,0.24797649652574838,4.2568,1.0376,1.3267,cst_root_nsga2_g05_child_0019_00cc4dca,434725.7137529346,0.012669186626756928,interp_clean_nearest_re
conservative_best_tier2,raw,0.2874262436238589,4.934,1.0138,1.3458,cst_mid1_nsga2_g05_child_0114_b5496e0b,424754.171745109,0.011803671709450347,interp_clean_nearest_re
conservative_best_tier2,raw,0.328757601518291,5.6435,0.989,1.3659,cst_mid1_nsga2_g05_child_0114_b5496e0b,414363.65738401335,0.012454310787312989,interp_clean_nearest_re
conservative_best_tier2,raw,0.37770278390434003,6.4837,0.9693,1.3711,cst_mid1_nsga2_g05_child_0114_b5496e0b,406109.9020245948,0.012485380339199815,interp_clean_nearest_re
conservative_best_tier2,raw,0.43406955190807855,7.4513,0.9553,1.3578,cst_mid1_nsga2_g05_child_0114_b5496e0b,400244.289078815,0.012405913985335432,interp_clean_nearest_re
conservative_best_tier2,raw,0.4912635296117479,8.4331,0.9412,1.3408,cst_mid1_nsga2_g05_child_0114_b5496e0b,394336.7788977082,0.012449050827668633,interp_clean_nearest_re
conservative_best_tier2,raw,0.5430806442658668,9.3226,0.9354,1.3085,cst_mid1_nsga2_g05_child_0114_b5496e0b,391906.7392487423,0.012157682224295379,interp_clean_nearest_re
conservative_best_tier2,raw,0.5890140842937169,10.1111,0.938,1.2623,dae31,392996.0673672442,0.009910352170167265,interp_clean_nearest_re
conservative_best_tier2,raw,0.6342892518138756,10.8883,0.9405,1.2133,dae31,394043.4982504192,0.00958807864552336,interp_clean_nearest_re
conservative_best_tier2,raw,0.6784575894538452,11.6465,0.9431,1.1581,dae31,395132.8263689212,0.00931045446705065,interp_clean_nearest_re
conservative_best_tier2,raw,0.7213909379643405,12.3835,0.9488,1.0749,dae31,397520.9687825601,0.009040792364736693,interp_clean_nearest_re
conservative_best_tier2,raw,0.762652390813708,13.0918,0.9576,0.9689,dae31,401207.9254913359,0.008881240960858709,interp_clean_nearest_re
conservative_best_tier2,raw,0.801554548392146,13.7596,0.9659,0.8661,clarkysm,404685.3960234768,0.00910928110720345,interp_clean_nearest_re
conservative_best_tier2,raw,0.8414470274423321,14.4444,0.9373,0.8001,clarkysm,392702.7867199553,0.008446111018626226,interp_clean_nearest_re
conservative_best_tier2,raw,0.8814967928439137,15.1319,0.8768,0.7621,clarkysm,367354.9593471213,0.008359019657945752,interp_clean_nearest_re
conservative_best_tier2,raw,0.9138628287088135,15.6875,0.7953,0.7344,clarkysm,333208.7125556176,0.008711333293364367,interp_clean_nearest_re
conservative_best_tier2,raw,0.9388946602623547,16.1172,0.6986,0.7179,clarkysm,292694.08599441027,0.008852422172886206,interp_clean_nearest_re
conservative_best_tier2,raw,0.9593418859437439,16.4682,0.6539,0.6633,clarkysm,273966.02180324204,0.009393702930240408,interp_clean_nearest_re
conservative_best_tier2,raw,0.9752452836959355,16.7412,0.6508,0.5669,clarkysm,272667.20750810514,0.00928450491765501,interp_clean_nearest_re
conservative_best_tier2,raw,0.9873097293899974,16.9483,0.6484,0.4442,clarkysm,271661.67386025714,0.009276638918316277,interp_clean_nearest_re
conservative_best_tier2,raw,0.9954187146174884,17.0875,0.6468,0.2878,clarkysm,270991.3180950252,0.009230626098653636,interp_clean_nearest_re
conservative_best_tier2,raw,0.9994906834925001,17.1574,0.646,0.1006,clarkysm,270656.1402124092,0.012570186280338125,interp_clean_nearest_re
conservative_best_tier2,raw,1.0,17.166143,0.645934,0.1006,clarkysm,270628.48803709337,0.012570186280338125,interp_clean_nearest_re
conservative_best_tier2,monotone,0.0,0.0,1.256773096,1.2133,cst_root_nsga2_g05_child_0019_00cc4dca,526553.1815575226,0.010645298784123514,interp_clean_nearest_re
conservative_best_tier2,monotone,0.0006582725076914481,0.0113,1.2561,1.2133,cst_root_nsga2_g05_child_0019_00cc4dca,526271.1729424259,0.010645298784123514,interp_clean_nearest_re
conservative_best_tier2,monotone,0.0059128017283789375,0.1015,1.2506,1.2081,cst_root_nsga2_g05_child_0019_00cc4dca,523966.8249994409,0.010665905259444481,interp_clean_nearest_re
conservative_best_tier2,monotone,0.016369431385955483,0.281,1.2396,1.2133,cst_root_nsga2_g05_child_0019_00cc4dca,519358.12911347125,0.011110601349630066,interp_clean_nearest_re
conservative_best_tier2,monotone,0.03193495475366831,0.5482,1.2233,1.2211,cst_root_nsga2_g05_child_0019_00cc4dca,512528.87975517043,0.011108058143656887,interp_clean_nearest_re
conservative_best_tier2,monotone,0.052446260059700066,0.9003,1.2018,1.2312,cst_root_nsga2_g05_child_0019_00cc4dca,503520.97415986576,0.011145653272369896,interp_clean_nearest_re
conservative_best_tier2,monotone,0.07771693385054522,1.3341,1.1753,1.2438,cst_root_nsga2_g05_child_0019_00cc4dca,492418.2067982113,0.011236726782870722,interp_clean_nearest_re
conservative_best_tier2,monotone,0.10750230846847773,1.8454,1.144,1.259,cst_root_nsga2_g05_child_0019_00cc4dca,479304.3721408607,0.011770922976494437,interp_clean_nearest_re
conservative_best_tier2,monotone,0.1415111128923952,2.4292,1.1084,1.2781,cst_root_nsga2_g05_child_0019_00cc4dca,464388.95636444946,0.0118439298663109,interp_clean_nearest_re
conservative_best_tier2,monotone,0.17620149150569234,3.0247,1.0792,1.2959,cst_root_nsga2_g05_child_0019_00cc4dca,452154.9636489658,0.012547008583108197,interp_clean_nearest_re
conservative_best_tier2,monotone,0.21078118713097052,3.6183,1.0585,1.3106,cst_root_nsga2_g05_child_0019_00cc4dca,443482.23593627725,0.012605320831213273,interp_clean_nearest_re
conservative_best_tier2,monotone,0.24797649652574838,4.2568,1.0361,1.3287,cst_root_nsga2_g05_child_0019_00cc4dca,434097.25522302964,0.012677120265954897,interp_clean_nearest_re
conservative_best_tier2,monotone,0.2874262436238589,4.934,1.0124,1.3491,cst_mid1_nsga2_g05_child_0114_b5496e0b,424167.610450531,0.01182781182189944,interp_clean_nearest_re
conservative_best_tier2,monotone,0.328757601518291,5.6435,0.9875,1.3708,cst_mid1_nsga2_g05_child_0114_b5496e0b,413735.19885410846,0.012483587865052497,interp_clean_nearest_re
conservative_best_tier2,monotone,0.37770278390434003,6.4837,0.9704,1.3757,cst_mid1_nsga2_g05_child_0114_b5496e0b,406570.77161319176,0.012512864942792006,interp_clean_nearest_re
conservative_best_tier2,monotone,0.43406955190807855,7.4513,0.9615,1.3597,cst_mid1_nsga2_g05_child_0114_b5496e0b,402841.91766908887,0.012417266321601773,interp_clean_nearest_re
conservative_best_tier2,monotone,0.4912635296117479,8.4331,0.9525,1.3397,cst_mid1_nsga2_g05_child_0114_b5496e0b,399071.16648965905,0.012284170523782653,interp_clean_nearest_re
conservative_best_tier2,monotone,0.5430806442658668,9.3226,0.948,1.3061,cst_mid1_nsga2_g05_child_0114_b5496e0b,397185.7908999441,0.011993539234338426,interp_clean_nearest_re
conservative_best_tier2,monotone,0.5890140842937169,10.1111,0.948,1.2601,dae31,397185.7908999441,0.009895299079197156,interp_clean_nearest_re
conservative_best_tier2,monotone,0.6342892518138756,10.8883,0.948,1.2108,dae31,397185.7908999441,0.009574376489710795,interp_clean_nearest_re
conservative_best_tier2,monotone,0.6784575894538452,11.6465,0.948,1.1548,dae31,397185.7908999441,0.009298120127088551,interp_clean_nearest_re
conservative_best_tier2,monotone,0.7213909379643405,12.3835,0.948,1.0724,dae31,397185.7908999441,0.009033729341354754,interp_clean_nearest_re
conservative_best_tier2,monotone,0.762652390813708,13.0918,0.948,0.9674,dae31,397185.7908999441,0.008878845438285436,interp_clean_nearest_re
conservative_best_tier2,monotone,0.801554548392146,13.7596,0.948,0.8649,clarkysm,397185.7908999441,0.009094641892328859,interp_clean_nearest_re
