case_name,solver,alpha_deg,eta,y_m,chord_m,local_cl,local_cd,local_cm_c4,lprime_proxy,lprime_norm,source
policy_C_conservative_baseline,AVL,4.4223,0.8819459824915198,15.1319,0.8768,0.8144,0.0105,-0.0826,0.71406592,0.442623853890585,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.9143285113129029,15.6875,0.7953,0.791,0.0108,-0.0821,0.6290823,0.38994555578335566,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.939373098488116,16.1172,0.6986,0.7772,0.0114,-0.0829,0.54295192,0.33655642228058247,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.9598307435858581,16.4682,0.6539,0.7196,0.0144,-0.0801,0.47054644,0.29167486204536264,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.9757422453285463,16.7412,0.6508,0.6153,0.0178,-0.0728,0.40043724,0.24821668342624326,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.9878128387751058,16.9483,0.6484,0.4819,0.0186,-0.0615,0.31246396,0.1936852023089319,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,0.9959259561472018,17.0875,0.6468,0.3118,0.0147,-0.043,0.20167224000000003,0.12500938861715596,trimmed_to_CL_req
policy_C_conservative_baseline,AVL,4.4223,1.0,17.1574,0.646,0.1089,0.0057,-0.016,0.0703494,0.04360706998436548,trimmed_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.016110597391137,0.27458,1.24178,1.2625562925511378,0.04368304780505781,-0.1905425836218403,1.567817152964152,1.0,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.04833120543739996,0.82373,1.20817,1.2825187250648793,0.0421526339912065,-0.1949683338856733,1.5495006480616351,0.9883171931957198,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.08055181348366293,1.37288,1.17456,1.3001563393008635,0.040829888402346054,-0.19908382506339417,1.5271116298892222,0.9740368173686765,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.11277242152992588,1.92203,1.14096,1.3168173216563055,0.0397161064690371,-0.20330827989666655,1.5024358913169782,0.9582979038572434,linearly_interpolated_to_CL_req
policy_C_conservative_baseline,VSPAERO_thin_vlm,4.974091388787308,0.14499361631219987,2.47119,1.10735,1.3336175267534107,0.03899102910516751,-0.20788143929937833,1.4767813682503894,0.9419346927403822,linearly_interpolated_to_CL_req
